LOCATION,TIME,Value
AUS,1960,2002.245
AUS,1961,2359.122
AUS,1962,2385.124
AUS,1963,2808.151
AUS,1964,3027.538
AUS,1965,2953.563
AUS,1966,3081.653
AUS,1967,3384.23
AUS,1968,3420.944
AUS,1969,4028.505
AUS,1970,4614.918
AUS,1974,11022.1
AUS,1975,11944.88
AUS,1976,13207.98
AUS,1977,13420.07
AUS,1978,14361.11
AUS,1979,18918.78
AUS,1980,22005.06
AUS,1981,21778.41
AUS,1982,21667.38
AUS,1983,19863.97
AUS,1984,23240.27
AUS,1985,22984.59
AUS,1986,22691.23
AUS,1987,27225.37
AUS,1988,33369.22
AUS,1989,37255.23
AUS,1990,39680.82
AUS,1991,42433.45
AUS,1992,42935.16
AUS,1993,42663.53
AUS,1994,47321.14
AUS,1995,53279.2
AUS,1996,60516.91
AUS,1997,64936.05
AUS,1998,55842.21
AUS,1999,56027.09
AUS,2000,64115.79
AUS,2001,63628
AUS,2002,64965.09
AUS,2003,70254.01
AUS,2004,87194.12
AUS,2005,106784.9
AUS,2006,124513.1
AUS,2007,142028.5
AUS,2008,187361.1
AUS,2009,153820.3
AUS,2010,213168.4
AUS,2011,271599.5
AUS,2012,258458.6
AUS,2013,254233.5
AUS,2014,240452
AUS,2015,188161.2
AUS,2016,191364.6
AUT,1995,56420.41
AUT,1996,56652.54
AUT,1997,56919
AUT,1998,61185.48
AUT,1999,62481.7
AUT,2000,62473.73
AUT,2001,65073.42
AUT,2002,71258.59
AUT,2003,85203.49
AUT,2004,104764.5
AUT,2005,114561
AUT,2006,129316.4
AUT,2007,156516.5
AUT,2008,171352.4
AUT,2009,131221.1
AUT,2010,145020.8
AUT,2011,170097.4
AUT,2012,160230.1
AUT,2013,164204.7
AUT,2014,165817.7
AUT,2015,142159.6
AUT,2016,142739.8
BEL,2000,148685.4
BEL,2001,145673.8
BEL,2002,143221.3
BEL,2003,172687.9
BEL,2004,207813.9
BEL,2005,228517
BEL,2006,247643.9
BEL,2007,288222.3
BEL,2008,312351.6
BEL,2009,240493
BEL,2010,271307.5
BEL,2011,323516.9
BEL,2012,300822.8
BEL,2013,312609.5
BEL,2014,314253.1
BEL,2015,254809
BEL,2016,277552.9
CAN,1981,71859.73
CAN,1982,70191.47
CAN,1983,75306.05
CAN,1984,89158.89
CAN,1985,89778.17
CAN,1986,89951.36
CAN,1987,98967.32
CAN,1988,116416.4
CAN,1989,123857.9
CAN,1990,130044
CAN,1991,128534.7
CAN,1992,134773
CAN,1993,146945.8
CAN,1994,166541
CAN,1995,192923.4
CAN,1996,204827.9
CAN,1997,218397.8
CAN,1998,219947.2
CAN,1999,247742.5
CAN,2000,288103.4
CAN,2001,270851
CAN,2002,262564
CAN,2003,284011.4
CAN,2004,328608.6
CAN,2005,370457.9
CAN,2006,398514.8
CAN,2007,430400.4
CAN,2008,459992.6
CAN,2009,323088.6
CAN,2010,392309.8
CAN,2011,461508.3
CAN,2012,461853.8
CAN,2013,465206.8
CAN,2014,478484.8
CAN,2015,411004.4
CAN,2016,393481
CZE,1993,12095.23
CZE,1997,16523.23
CZE,1998,18794.33
CZE,1999,18042.86
CZE,2000,19650.59
CZE,2001,22837.37
CZE,2002,26827.98
CZE,2003,35191.99
CZE,2004,55756.43
CZE,2005,71636.08
CZE,2006,85583.51
CZE,2007,106468.5
CZE,2008,125239.6
CZE,2009,100319.4
CZE,2010,114995.1
CZE,2011,137933.8
CZE,2013,137083.5
CZE,2014,146442.3
CZE,2015,128213.8
CZE,2016,131070.6
DNK,2005,81578.3
DNK,2006,90459.87
DNK,2007,101403.2
DNK,2008,117409.1
DNK,2009,94387.5
DNK,2010,101097.2
DNK,2011,118063.2
DNK,2012,111313.2
DNK,2013,116851.2
DNK,2014,118498.2
DNK,2015,102642.8
DNK,2016,103881.2
FIN,1995,38117.82
FIN,1996,39220.85
FIN,1997,40068.36
FIN,1998,42259.14
FIN,1999,40841.38
FIN,2000,45170.84
FIN,2001,42280.39
FIN,2002,43982.5
FIN,2003,51729.67
FIN,2004,59733.21
FIN,2005,64032.14
FIN,2006,75440.2
FIN,2007,88779.19
FIN,2008,95542.23
FIN,2009,63390.63
FIN,2010,68171.44
FIN,2011,77385.98
FIN,2012,73107.13
FIN,2013,75371.53
FIN,2014,74912.42
FIN,2015,59672.63
FIN,2016,58288.75
FRA,1999,296664.2
FRA,2000,293500.3
FRA,2001,291378.3
FRA,2002,305075.5
FRA,2007,543583.8
FRA,2008,598285.9
FRA,2009,469238.4
FRA,2010,507440.9
FRA,2011,586892.7
FRA,2012,560980.1
FRA,2013,582088.6
FRA,2014,581108.9
FRA,2015,511013.5
FRA,2016,506939.5
DEU,1991,400967.7
DEU,1992,421864.3
DEU,1993,356510.8
DEU,1994,397245.8
DEU,1995,473562.5
DEU,1996,484229.4
DEU,1997,486123.9
DEU,1998,513278.4
DEU,1999,511167.7
DEU,2000,518109.9
DEU,2001,536632.9
DEU,2002,576635.7
DEU,2003,700070.9
DEU,2004,852419.3
DEU,2005,919626.1
DEU,2006,1056212
DEU,2007,1268714
DEU,2008,1387074
DEU,2009,1070280
DEU,2010,1216276
DEU,2011,1432388
DEU,2012,1377150
DEU,2013,1433978
DEU,2014,1480374
DEU,2015,1308121
DEU,2016,1321516
GRC,2002,10541.29
GRC,2003,13240.5
GRC,2004,16855.06
GRC,2005,18842.45
GRC,2006,22224.25
GRC,2007,28233.28
GRC,2008,32049.07
GRC,2009,24619.32
GRC,2010,27855.35
GRC,2011,33154.02
GRC,2012,34894.32
GRC,2013,35704.34
GRC,2014,35538.24
GRC,2015,27496.98
GRC,2016,27078.51
HUN,1995,11407.39
HUN,1996,11987.49
HUN,1997,15185.69
HUN,1998,18487.49
HUN,1999,20443.21
HUN,2000,23836.02
HUN,2001,25959.13
HUN,2002,30014
HUN,2003,37605.46
HUN,2004,50801.02
HUN,2005,58759.27
HUN,2006,70047.71
HUN,2007,89375.7
HUN,2008,104673.3
HUN,2009,78817.46
HUN,2010,87708.93
HUN,2011,99858.08
HUN,2012,89991.62
HUN,2013,93309.71
HUN,2014,98747.47
HUN,2015,88384.48
HUN,2016,91582.37
ISL,1995,1801.039
ISL,1996,1883.931
ISL,1997,1849.829
ISL,1998,1909.757
ISL,1999,1946.441
ISL,2000,1820.901
ISL,2001,1886.05
ISL,2002,2101.797
ISL,2003,2246.534
ISL,2004,2733.568
ISL,2005,2892.381
ISL,2006,3116.149
ISL,2007,4103.066
ISL,2008,4574.501
ISL,2009,3714.694
ISL,2010,4107.329
ISL,2011,4848.414
ISL,2012,4606.362
ISL,2013,4592.362
ISL,2014,4870.38
ISL,2015,4658.076
ISL,2016,4472.451
IRL,2002,85556.2
IRL,2003,89948.05
IRL,2004,105231.3
IRL,2005,111754
IRL,2006,117176.5
IRL,2007,136603
IRL,2008,140595.7
IRL,2009,135143
IRL,2010,136752.4
IRL,2011,139852.3
IRL,2012,130936
